feature,AGOP_importance,AGOP_rank,PCA_importance,PCA_rank,MI_importance,MI_rank,Permutation_importance,Permutation_rank
age,0.16726093,4,0.34242016215159987,3,1.3583344176503171,1,0.16415745384227673,4
bmi,0.41626897,3,0.3911488464189032,1,0.10498724104645785,7,0.286974589719733,3
children,0.015260653,5,0.3496416752693741,2,0.12451673760947957,4,0.006726695795551485,6
sex_female,0.0012506187,8,0.09383351316335817,7,0.12024041053901846,5,-0.0014698520753999467,11
sex_male,0.0012506075,9,0.09383351316335815,8,0.12024041053901846,6,-0.0011117413140596666,10
smoker_no,0.99996835,2,0.07881247901615512,10,0.35871870734650946,2,0.3939601466866137,1
smoker_yes,1.0,1,0.07881247901615515,9,0.35871870734650946,3,0.38431917074839256,2
region_northeast,0.0091876695,6,0.10249953991012795,6,0.05528485006125927,8,-0.00031376395520380516,9
region_northwest,0.0007284756,11,0.11154929603926791,5,0.009687617805281601,11,0.0018897154539117666,7
region_southeast,0.0010707802,10,0.1313348432610606,4,0.03303002537748734,10,0.0010526575283452578,8
region_southwest,0.008159222,7,0.07527440300765158,11,0.03522748812612919,9,0.007681901455135897,5
