dataset,n,model,train_time,infer_time_per_sample,RMSE
Regression_n_gt_10k,1000,xRFM,0.2068,3e-06,4.645
Regression_n_gt_10k,1000,XGBoost,1.5267,2e-06,5.0912
Regression_n_gt_10k,1000,RandomForest,0.6708,2.7e-05,4.8227
Regression_n_gt_10k,1000,MLP,0.1137,1e-06,5.2556
Regression_n_gt_10k,2500,xRFM,1.131,1.8e-05,4.2713
Regression_n_gt_10k,2500,XGBoost,3.3049,4e-06,4.5515
Regression_n_gt_10k,2500,RandomForest,0.9062,1.3e-05,4.4541
Regression_n_gt_10k,2500,MLP,0.1612,1e-06,5.0627
Regression_n_gt_10k,5000,xRFM,5.6749,4.3e-05,3.9581
Regression_n_gt_10k,5000,XGBoost,5.6345,5e-06,4.2265
Regression_n_gt_10k,5000,RandomForest,1.9517,1.3e-05,4.1967
Regression_n_gt_10k,5000,MLP,0.5165,1e-06,4.6397
Regression_n_gt_10k,20000,xRFM,203.167,9.8e-05,3.3363
Regression_n_gt_10k,20000,XGBoost,11.5408,1.1e-05,3.7114
Regression_n_gt_10k,20000,RandomForest,9.2376,1.8e-05,3.7029
Regression_n_gt_10k,20000,MLP,3.8606,0.0,4.1377
Regression_n_gt_10k,10000,xRFM,34.454,3e-05,3.647
Regression_n_gt_10k,10000,XGBoost,4.8961,5e-06,4.0142
Regression_n_gt_10k,10000,RandomForest,5.2053,1.9e-05,3.9788
Regression_n_gt_10k,10000,MLP,2.4273,1e-06,4.3428
