
=== Tuning Regression_n_gt_10k ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 5.2108 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.01} -> 5.1054 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.05} -> 4.9109 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.1} -> 4.8689 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.2} -> 4.8526 (best_iter=3290)
  {'max_depth': 1, 'learning_rate': 0.3} -> 4.8446 (best_iter=2601)
  {'max_depth': 2, 'learning_rate': 0.005} -> 4.7801 (best_iter=3999)
  {'max_depth': 2, 'learning_rate': 0.01} -> 4.6019 (best_iter=3999)
  {'max_depth': 2, 'learning_rate': 0.05} -> 4.2833 (best_iter=3998)
  {'max_depth': 2, 'learning_rate': 0.1} -> 4.1860 (best_iter=3849)
  {'max_depth': 2, 'learning_rate': 0.2} -> 4.1971 (best_iter=1926)
  {'max_depth': 2, 'learning_rate': 0.3} -> 4.1589 (best_iter=1717)
  {'max_depth': 3, 'learning_rate': 0.005} -> 4.4950 (best_iter=3999)
  {'max_depth': 3, 'learning_rate': 0.01} -> 4.3067 (best_iter=3999)
  {'max_depth': 3, 'learning_rate': 0.05} -> 4.0436 (best_iter=2635)
  {'max_depth': 3, 'learning_rate': 0.1} -> 3.8599 (best_iter=3986)
  {'max_depth': 3, 'learning_rate': 0.2} -> 3.9174 (best_iter=1394)
  {'max_depth': 3, 'learning_rate': 0.3} -> 3.9550 (best_iter=791)
  {'max_depth': 5, 'learning_rate': 0.005} -> 4.0464 (best_iter=3999)
  {'max_depth': 5, 'learning_rate': 0.01} -> 3.8775 (best_iter=3999)
  {'max_depth': 5, 'learning_rate': 0.05} -> 3.6253 (best_iter=3678)
  {'max_depth': 5, 'learning_rate': 0.1} -> 3.6363 (best_iter=1948)
  {'max_depth': 5, 'learning_rate': 0.2} -> 3.6844 (best_iter=727)
  {'max_depth': 5, 'learning_rate': 0.3} -> 3.7106 (best_iter=764)
  {'max_depth': 7, 'learning_rate': 0.005} -> 3.7205 (best_iter=3999)
  {'max_depth': 7, 'learning_rate': 0.01} -> 3.5828 (best_iter=3992)
  {'max_depth': 7, 'learning_rate': 0.05} -> 3.5098 (best_iter=2191)
  {'max_depth': 7, 'learning_rate': 0.1} -> 3.5351 (best_iter=848)
  {'max_depth': 7, 'learning_rate': 0.2} -> 3.6154 (best_iter=387)
  {'max_depth': 7, 'learning_rate': 0.3} -> 3.6818 (best_iter=311)
  {'max_depth': 9, 'learning_rate': 0.005} -> 3.5357 (best_iter=3998)
  {'max_depth': 9, 'learning_rate': 0.01} -> 3.4552 (best_iter=3999)
  {'max_depth': 9, 'learning_rate': 0.05} -> 3.4580 (best_iter=1217)
  {'max_depth': 9, 'learning_rate': 0.1} -> 3.4973 (best_iter=639)
  {'max_depth': 9, 'learning_rate': 0.2} -> 3.5321 (best_iter=233)
  {'max_depth': 9, 'learning_rate': 0.3} -> 3.6131 (best_iter=174)
  {'max_depth': 11, 'learning_rate': 0.005} -> 3.4983 (best_iter=3999)
  {'max_depth': 11, 'learning_rate': 0.01} -> 3.4792 (best_iter=2971)
  {'max_depth': 11, 'learning_rate': 0.05} -> 3.4666 (best_iter=939)
  {'max_depth': 11, 'learning_rate': 0.1} -> 3.4905 (best_iter=399)
  {'max_depth': 11, 'learning_rate': 0.2} -> 3.5671 (best_iter=251)
  {'max_depth': 11, 'learning_rate': 0.3} -> 3.6344 (best_iter=200)
  -> winner: {'max_depth': 9, 'learning_rate': 0.01, 'n_estimators': 4000} (score=3.4552)

=== Tuning Regression_d_gt_50 ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 23139.3320 (best_iter=3999)
  {'max_depth': 1, 'learning_rate': 0.01} -> 22449.8848 (best_iter=2994)
  {'max_depth': 1, 'learning_rate': 0.05} -> 22006.6270 (best_iter=1137)
  {'max_depth': 1, 'learning_rate': 0.1} -> 22242.1465 (best_iter=470)
  {'max_depth': 1, 'learning_rate': 0.2} -> 22309.9707 (best_iter=290)
  {'max_depth': 1, 'learning_rate': 0.3} -> 22735.0488 (best_iter=198)
  {'max_depth': 2, 'learning_rate': 0.005} -> 21762.6836 (best_iter=3999)
  {'max_depth': 2, 'learning_rate': 0.01} -> 21801.0605 (best_iter=1908)
  {'max_depth': 2, 'learning_rate': 0.05} -> 21997.5664 (best_iter=372)
  {'max_depth': 2, 'learning_rate': 0.1} -> 21682.4297 (best_iter=369)
  {'max_depth': 2, 'learning_rate': 0.2} -> 23020.6602 (best_iter=93)
  {'max_depth': 2, 'learning_rate': 0.3} -> 23366.5078 (best_iter=43)
  {'max_depth': 3, 'learning_rate': 0.005} -> 20963.4844 (best_iter=2329)
  {'max_depth': 3, 'learning_rate': 0.01} -> 21094.6504 (best_iter=902)
  {'max_depth': 3, 'learning_rate': 0.05} -> 21098.5293 (best_iter=229)
  {'max_depth': 3, 'learning_rate': 0.1} -> 21077.1738 (best_iter=132)
  {'max_depth': 3, 'learning_rate': 0.2} -> 20801.2520 (best_iter=65)
  {'max_depth': 3, 'learning_rate': 0.3} -> 20793.5566 (best_iter=66)
  {'max_depth': 5, 'learning_rate': 0.005} -> 19816.5020 (best_iter=1407)
  {'max_depth': 5, 'learning_rate': 0.01} -> 19766.0840 (best_iter=752)
  {'max_depth': 5, 'learning_rate': 0.05} -> 19784.3066 (best_iter=151)
  {'max_depth': 5, 'learning_rate': 0.1} -> 20771.9473 (best_iter=73)
  {'max_depth': 5, 'learning_rate': 0.2} -> 21703.1934 (best_iter=41)
  {'max_depth': 5, 'learning_rate': 0.3} -> 21582.7559 (best_iter=29)
  {'max_depth': 7, 'learning_rate': 0.005} -> 20252.4609 (best_iter=1290)
  {'max_depth': 7, 'learning_rate': 0.01} -> 20269.3340 (best_iter=650)
  {'max_depth': 7, 'learning_rate': 0.05} -> 20388.9355 (best_iter=196)
  {'max_depth': 7, 'learning_rate': 0.1} -> 20302.1855 (best_iter=84)
  {'max_depth': 7, 'learning_rate': 0.2} -> 20528.1738 (best_iter=55)
  {'max_depth': 7, 'learning_rate': 0.3} -> 22202.6973 (best_iter=32)
  {'max_depth': 9, 'learning_rate': 0.005} -> 21173.1543 (best_iter=1606)
  {'max_depth': 9, 'learning_rate': 0.01} -> 21378.5938 (best_iter=887)
  {'max_depth': 9, 'learning_rate': 0.05} -> 21386.4121 (best_iter=168)
  {'max_depth': 9, 'learning_rate': 0.1} -> 21581.0527 (best_iter=108)
  {'max_depth': 9, 'learning_rate': 0.2} -> 22249.1406 (best_iter=39)
  {'max_depth': 9, 'learning_rate': 0.3} -> 21857.7812 (best_iter=44)
  {'max_depth': 11, 'learning_rate': 0.005} -> 22586.5547 (best_iter=1942)
  {'max_depth': 11, 'learning_rate': 0.01} -> 22610.9785 (best_iter=1013)
  {'max_depth': 11, 'learning_rate': 0.05} -> 22340.0703 (best_iter=260)
  {'max_depth': 11, 'learning_rate': 0.1} -> 22645.9355 (best_iter=126)
  {'max_depth': 11, 'learning_rate': 0.2} -> 22966.9023 (best_iter=72)
  {'max_depth': 11, 'learning_rate': 0.3} -> 23272.7715 (best_iter=26)
  -> winner: {'max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 753} (score=19766.0840)

=== Tuning Regression_Mixed ===
  {'max_depth': 1, 'learning_rate': 0.005} -> 5589.0960 (best_iter=3049)
  {'max_depth': 1, 'learning_rate': 0.01} -> 5588.7791 (best_iter=1519)
  {'max_depth': 1, 'learning_rate': 0.05} -> 5587.8921 (best_iter=301)
  {'max_depth': 1, 'learning_rate': 0.1} -> 5585.6017 (best_iter=146)
  {'max_depth': 1, 'learning_rate': 0.2} -> 5584.0796 (best_iter=65)
  {'max_depth': 1, 'learning_rate': 0.3} -> 5598.8374 (best_iter=46)
  {'max_depth': 2, 'learning_rate': 0.005} -> 4192.9892 (best_iter=1422)
  {'max_depth': 2, 'learning_rate': 0.01} -> 4192.0901 (best_iter=708)
  {'max_depth': 2, 'learning_rate': 0.05} -> 4189.3788 (best_iter=136)
  {'max_depth': 2, 'learning_rate': 0.1} -> 4183.3596 (best_iter=65)
  {'max_depth': 2, 'learning_rate': 0.2} -> 4197.6423 (best_iter=29)
  {'max_depth': 2, 'learning_rate': 0.3} -> 4163.7520 (best_iter=23)
  {'max_depth': 3, 'learning_rate': 0.005} -> 4202.7050 (best_iter=762)
  {'max_depth': 3, 'learning_rate': 0.01} -> 4201.6050 (best_iter=371)
  {'max_depth': 3, 'learning_rate': 0.05} -> 4203.9631 (best_iter=74)
  {'max_depth': 3, 'learning_rate': 0.1} -> 4187.9630 (best_iter=47)
  {'max_depth': 3, 'learning_rate': 0.2} -> 4210.3765 (best_iter=18)
  {'max_depth': 3, 'learning_rate': 0.3} -> 4197.9126 (best_iter=12)
  {'max_depth': 5, 'learning_rate': 0.005} -> 4251.5085 (best_iter=661)
  {'max_depth': 5, 'learning_rate': 0.01} -> 4247.8481 (best_iter=336)
  {'max_depth': 5, 'learning_rate': 0.05} -> 4255.7203 (best_iter=66)
  {'max_depth': 5, 'learning_rate': 0.1} -> 4246.9713 (best_iter=44)
  {'max_depth': 5, 'learning_rate': 0.2} -> 4258.6268 (best_iter=13)
  {'max_depth': 5, 'learning_rate': 0.3} -> 4262.5741 (best_iter=10)
  {'max_depth': 7, 'learning_rate': 0.005} -> 4390.6342 (best_iter=574)
  {'max_depth': 7, 'learning_rate': 0.01} -> 4396.9270 (best_iter=309)
  {'max_depth': 7, 'learning_rate': 0.05} -> 4426.1229 (best_iter=51)
  {'max_depth': 7, 'learning_rate': 0.1} -> 4352.0462 (best_iter=28)
  {'max_depth': 7, 'learning_rate': 0.2} -> 4370.1990 (best_iter=11)
  {'max_depth': 7, 'learning_rate': 0.3} -> 4330.2643 (best_iter=8)
  {'max_depth': 9, 'learning_rate': 0.005} -> 4657.4786 (best_iter=600)
  {'max_depth': 9, 'learning_rate': 0.01} -> 4616.4966 (best_iter=365)
